DeveloperName,Label,Protected,Apex_Class__c,Category__c,Default_Risk_Score__c,Description__c,Is_Active__c,Remediation_Guidance__c,Required_Capability__c,Run_Frequency__c,Severity__c
Admin_With_Third_Party_Token,Admin With Third Party Token,false,Rule_AdminWithThirdPartyToken,OAuth Risk,75.0,"Fires when a user assigned the System Administrator profile holds any OauthToken. Admin-issued OAuth tokens combine the highest org privileges with credentials that often live outside MFA, so each grant should be reviewed individually until a trusted-publisher allowlist is configured.",true,"Confirm with the admin user that the connected app is required for their role and is published by a trusted vendor. If not, revoke the OauthToken in Setup > Connected Apps OAuth Usage and rotate any related API credentials. If approved, document the exception and prepare the app for inclusion in the future trusted-publisher allowlist.",,Every Run,High
Api_Volume_Spike,API Volume Spike,false,Rule_ApiVolumeSpike,OAuth Risk,50.0,"Flags users whose API call volume in the last twenty-four hours exceeds twice their ninety-day trailing average, with a noise floor of one hundred calls per day. Sudden API spikes on a previously-quiet user often correlate with credential theft, runaway integration scripts, or unauthorized bulk extracts.",true,"Identify the connected app or client driving the spike, confirm the integration owner authorized the change, and inspect IP and user-agent for the burst window. If unexplained, revoke the user's active sessions and OAuth tokens, throttle the integration user, and follow up with the connected-app owner.",EventLogFile,Every Run,Medium
Baseline_New_App,Baseline New App,false,Rule_BaselineNewApp,Baseline Deviation,50.0,"Flags newly issued OauthToken rows whose AppName is absent from the user's warmed-up baseline App_Set__c. Users granting consent to apps they have never authorized before is the dominant signal of an OAuth phishing campaign, especially when paired with surge or broad-scope findings on the same application.",true,"Inspect the connected app: publisher, scopes requested, install base, and creation date. Revoke the user's token if the app is unknown or scope is excessive. If multiple users in a short window authorized the same unknown app, treat as a campaign and block the connected app org-wide.",,Every Run,Medium
Baseline_New_Country,Baseline New Country,false,Rule_BaselineNewCountry,Baseline Deviation,50.0,"Flags successful logins from a country that is not present in the user's warmed-up baseline Country_Set__c. A new login country for a user with established travel patterns is a strong indicator of credential reuse, session hijacking, or unannounced travel that should be verified out-of-band.",true,"Contact the user out-of-band (phone, established chat) to verify travel. If the login was not theirs, expire all active sessions, reset the password, and reset MFA factors. Review LoginHistory and OauthToken records around the time of the login for further compromise.",,Every Run,Medium
Baseline_New_Ip24,Baseline New Ip24,false,Rule_BaselineNewIp24,Baseline Deviation,50.0,"Flags successful logins from a /24 IP block that is not in the user's warmed-up baseline Ip24_Set__c. New IP ranges typically indicate new VPN endpoints, residential moves, travel, or compromise. The /24 granularity reduces noise from carrier NAT and corporate IP shuffles while still surfacing meaningful change.",true,"Correlate the IP with the user's known VPN providers and corporate egress ranges. If the IP is unfamiliar, contact the user to verify. If the login is suspicious, expire sessions, rotate the password, and review surrounding activity for lateral movement or data exfiltration.",,Every Run,Medium
Baseline_Off_Hours,Baseline Off Hours,false,Rule_BaselineOffHours,Baseline Deviation,25.0,Flags successful logins occurring at an hour of day that represents less than two percent of the user's historical activity. Off-hours logins often indicate attacker access from a different time zone using stolen credentials. Low severity because off-hours work is common and benign in isolation.,true,"Triage in batches. If multiple off-hours findings cluster around the same user, correlate with country and IP baselines for stronger signal. For isolated findings, confirm with the user during their next normal-hours session.",,Every Run,Low
Bulk_Api_From_New_Client,Bulk API From New Client,false,Rule_BulkApiFromNewClient,OAuth Risk,75.0,"Flags Bulk API jobs initiated by a user from a client name (or source) that user has never used in the prior thirty days. A new Bulk API client on a previously-quiet user is a strong indicator of credential theft, unauthorized integration deployment, or a rogue developer side-loading a new tool.",true,"Identify the new client name and confirm whether the user authorized a new integration. If unexpected, revoke the user's OAuth tokens, freeze active sessions, and inspect Bulk API job results for what data was extracted. If legitimate, document the new client in the user's integration baseline so future runs do not re-fire.",EventLogFile,Every Run,High
Failed_Login_Burst,Failed Login Burst,false,Rule_FailedLoginBurst,Login Anomaly,50.0,Detects source IP addresses producing a burst of failed LoginHistory rows in the past hour. A high concentration of failures from one IP is a strong indicator of a password-spray or brute-force attempt against multiple users.,true,"Confirm the source IP is not a known corporate egress or test harness. If it is hostile, add the IP range to Network Access restrictions and notify any users whose accounts were targeted. Review their LoginHistory for successful logins from the same IP.",,Every Run,Medium
Failed_MFA_Burst,Failed MFA Burst,false,Rule_FailedMfaBurst,Login Anomaly,50.0,"Flags any single user with three or more MFA verification failures in the last 24 hours. Repeated MFA failures for one user are a strong signal of an MFA fatigue or push-bombing attack, an attacker testing stolen credentials, or a compromised session attempting to complete a second factor.",true,"Contact the user out of band to confirm whether they were attempting to sign in. If not, reset their password, revoke active sessions and tokens, and require MFA re-enrollment. If yes, document the cause (lost device, slow network) and consider strengthening the user's MFA method.",,Every Run,Medium
IP_Restriction_Removed,IP Restriction Removed,false,Rule_IpRestrictionRemoved,Setup Change,75.0,"Fires when SetupAuditTrail entries in the last 7 days reference deletion or removal of a Login IP Range. Login IP Ranges are a network-layer compensating control, so each removal is treated as a high-severity change pending review.",true,"Open Setup > Profiles or Setup > Network Access and verify whether the removed Login IP Range was replaced by an equivalent control. If the removal was unauthorized, restore the IP range from version control or your change-management ticket. Confirm with the change author and attach the approval to the finding.",,Every Run,High
Impossible_Travel,Impossible Travel,false,Rule_ImpossibleTravel,Login Anomaly,95.0,Detects pairs of successful logins for the same user from two countries that are physically too far apart for the elapsed time to be plausible. A confirmed match indicates either credential compromise or unsanitized VPN usage and warrants immediate session termination.,true,"Contact the user to confirm whether both logins were them. If not, expire their password, revoke active sessions, force MFA re-enrollment, and review recent activity for unauthorized changes. If the user confirms legitimate VPN use, document the source IP range and consider a network allowlist.",,Every Run,Critical
Inactive_User_Login_Success,Inactive User Login Success,false,Rule_InactiveUserLoginSuccess,Login Anomaly,95.0,"Flags any successful login in the last 24 hours where the User.IsActive flag is false. A successful login against an inactive user typically means the account was temporarily reactivated for an attack, credentials were used in the window before disable propagated, or a service account is misclassified. Each occurrence is high signal and warrants immediate investigation.",true,"Immediately revoke active sessions and OAuth tokens for the user. Reset the password and ensure IsActive remains false. Review who reactivated the account, recent admin activity, and any data accessed during the session. If the user is a legitimate service account, reclassify it and document the exception.",,Every Run,Critical
LoginAs_Outside_Hours,LoginAs Outside Hours,false,Rule_LoginAsOutsideHours,Login Anomaly,50.0,"Flags LoginAs impersonation events (admin assuming another user's session) that occurred outside business hours, defined as 08:00 through 18:00. Off-hours admin impersonation is a high-signal anomaly because legitimate support sessions almost always happen during normal business hours.",true,"Identify the impersonating admin and confirm the session was authorized (ticket, on-call rotation, scheduled maintenance). If unexplained, revoke the admin's session, rotate credentials, and review actions taken during the impersonation window in Setup Audit Trail and field history.",EventLogFile,Every Run,Medium
MFA_Disabled_For_User,MFA Disabled For User,false,Rule_MfaDisabledForUser,Setup Change,75.0,"Scans recent SetupAuditTrail entries for Multi-Factor Authentication being disabled for individual users. Disabling MFA reverts a key compensating control, so each occurrence should be reviewed and either restored or formally approved.",true,"Verify with the change author that disabling MFA was intentional and approved. If not, re-enable the MFA requirement for the affected user and review the actor's recent admin activity. If approved, attach the change ticket to the finding's resolution notes.",,Every Run,High
Mass_Report_Export,Mass Report Export,false,Rule_MassReportExport,OAuth Risk,75.0,"Flags users who exported more than fifty reports in the last twenty-four hours, based on ReportExport rows in EventLogFile. High-volume report export by a single user is a leading indicator of data exfiltration, especially when correlated with login anomalies, new OAuth tokens, or off-hours activity on the same user.",true,"Confirm with the user (or their manager) whether the export burst was expected. If unexpected, freeze the user, revoke active sessions and OAuth tokens, review the exported reports for sensitive data, and notify the data-owner team. If the burst aligns with a known migration or audit, document the exception and tune the threshold.",EventLogFile,Every Run,High
ModifyAllData_Granted,ModifyAllData Granted,false,Rule_ModifyAllDataGranted,Privilege Escalation,75.0,Flags PermissionSet assignments in the last 24 hours where the assigned permission set carries Modify All Data or View All Data. These permissions are functionally equivalent to admin access for the affected user and should be reviewed each time they are granted.,true,"Confirm the assignment was approved by the user's manager and that the user has a documented business need. If not, remove the assignment and review the assignee's recent activity. If the grant is legitimate, attach the approval reference to the finding's resolution notes.",,Every Run,High
